# What the Go precompiles said when they read the corpus back.
# R	<id>	<status>	<gas-charged>	<output-hex>	<note>
R	BLSMAPG2_MATTER_FP2_TO_G2_11	FAILED	37700	-	lux:bls12381PairingConfig: invalid pairing input length
R	BLSPAIRING_BLS_PAIRING_E_2_G1_3_G2__E_6_G1_G2_	FAILED	22500	-	lux:bls12381G2MulConfig: invalid input
R	BLSPAIRING_BLS_PAIRING_E_2_G1_3_G2__E_5_G1_G2_	FAILED	22500	-	lux:bls12381G2MulConfig: invalid input
R	BLSPAIRING_BLS_PAIRING_10PAIRCHECKSTRUE	FAILED	22500	-	lux:bls12381G2MulConfig: invalid input
R	BLSPAIRING_BLS_PAIRING_10PAIRCHECKSFALSE	FAILED	22500	-	lux:bls12381G2MulConfig: invalid input
R	BLSPAIRING_MATTER_PAIRING_0	FAILED	22500	-	lux:bls12381G2MulConfig: invalid input
R	BLSPAIRING_MATTER_PAIRING_1	FAILED	22500	-	lux:bls12381G2MulConfig: invalid input
R	BLSPAIRING_MATTER_PAIRING_2	FAILED	22500	-	lux:bls12381G2MulConfig: invalid input
R	BLSPAIRING_MATTER_PAIRING_3	FAILED	22500	-	lux:bls12381G2MulConfig: invalid input
R	BLSPAIRING_MATTER_PAIRING_4	FAILED	22500	-	lux:bls12381G2MulConfig: invalid input
R	BLSPAIRING_MATTER_PAIRING_5	FAILED	22500	-	lux:bls12381G2MulConfig: invalid input
R	BLSPAIRING_MATTER_PAIRING_6	FAILED	22500	-	lux:bls12381G2MulConfig: invalid input
R	BLSPAIRING_MATTER_PAIRING_7	FAILED	22500	-	lux:bls12381G2MulConfig: invalid input
R	BN256ADD_CHFAST1	OK	150	2243525c5efd4b9c3d3c45ac0ca3fe4dd85e830a4ce6b65fa1eeaee202839703301d1d33be6da8e509df21cc35964723180eed7532537db9ae5e7d48f195c915	geth:BN254_ADD
R	BN256ADD_CHFAST2	OK	150	2bd3e6d0f3b142924f5ca7b49ce5b9d54c4703d7ae5648e61d02268b1a0a9fb721611ce0a6af85915e2f1d70300909ce2e49dfad4a4619c8390cae66cefdb204	geth:BN254_ADD
R	BN256ADD_CDETRIO1	OK	150	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	geth:BN254_ADD
R	BN256ADD_CDETRIO2	OK	150	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	geth:BN254_ADD
R	BN256ADD_CDETRIO3	OK	150	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	geth:BN254_ADD
